Date,Score(%),Article
2022-01-07,-6.82,中油、台電、中鋼國營事業爆電子舞弊，集團聘請解題學生作答，再報答案給戴耳機的作弊考生，錄取酬勞至少120萬元，初估5年來上百人作弊、獲利上億。高雄檢廉聲押4人獲准。
2022-01-08,-5.13,國營事業每回招考大家都是擠破頭，就是為了搶這份鐵飯碗，就有電子舞弊集團，鎖定中油中鋼和台電，協助考生錄取收費120萬到150萬，檢警抓到4名涉嫌重大的嫌犯，其中兩人任職台電跟中鋼，林姓中鋼員工，還把自己的太太跟小三，一起拉進集團工作，而首腦目前還在逃。
2022-02-01,1.79,鋼鐵業龍頭中鋼考量訂單需求、倉儲狀況，決定春節期間熱軋大部分產線維持正常運作。中鋼推估，因季節性因素預估首季出貨量約300萬噸，略較去年第4季下滑；預計農曆年後回補需求出籠，鋼鐵市況3月起反彈。
2022-02-14,-2.5,中鋼1月營收新台幣400.27億元，月減2.36%，年增29.88%，寫下歷年1月新高。中鋼認為，農曆年後有望迎來拉貨潮，看好鋼市3月起反彈。
2022-03-10,-6.41,台灣高鐵第一輛國產的電車線維修工程車，在2021年底終於亮相，由高鐵與中鋼攜手國車國造，「工程車」主要執行軌道上方的「架空線」維修，車輛主結構都是在國內生產製造，可以有效降低維修成本及進口零組件短缺壓力，用mit技術維護高鐵運行安全，帶您來看台灣高鐵如何打開軌道工業本土化新頁。
2022-04-19,-5.3,中鋼股東會18日公布今年的紀念品，是鈦戶外環保餐具，方邊攜帶又實用，吸引股民目光！但設計品牌「源源鋼藝」表示，中鋼曾跟詢問過他們的口卡餐具，多次討論合作的可能性，最後因為貼牌問題而告吹，源源鋼藝po文說，中鋼的紀念品與他們家的產品極為相似，現在正研議要如何採取法律行動；但中鋼表示，紀念品的合作廠商有提供分析報告，並未侵害其他專利！中鋼於昨（18）日公布今年的股東會紀念品為「戶外型環保餐具」，然而設計曝光後，卻被一間品牌「源源鋼藝uanuan」暗指抄襲，引發外界熱議。對此中鋼也發出聲明表示，該紀念品由鑫科公司負責承製，已經於今年2月取得新型專利證書，澄清並無侵害其他專利的疑慮。中鋼股東會於昨（18）日曝光今年的紀念品，吸睛且實用的戶外型環保餐具受到不少討論，不過同一時間設計品牌「源源鋼藝uanuan」卻發文，意有所指提到「被蹭設計了」，表示「某上市上櫃公司」曾來回跟他們討論數次，最後因為貼牌問題合作告吹，沒想到商品出來卻和當初設計的外型激似，瞬間引起大批網友熱議，雖然文中並未表明公司名稱，但仍被許多人猜測可能就是近日才剛公布股東會紀念品的「中鋼公司」。
2022-06-28,-4.55,國內確定要調漲電費，雖然經濟部公布的平均漲幅約百分之八，但使用高壓及特高壓電的產業，調幅就高達1成5，因此以中鋼來說，每年就要增加約八億元電費，還有一些中小企業的用電大戶，每個月要增加幾十萬的電費，讓他們覺得負擔相當大。
2022-07-15,-3.6,中鋼今（15）日召開111年8月份內銷鋼品盤價會議，針對國內市場陸續遭受大陸、韓國、印度及俄羅斯等進口料在短時間內以極低價格搶單擾市，會中決議，中鋼8月份月盤產品基價平均調降5.61%。年薪比台積電高！根據證交所6月底公布資料顯示，中鋼員工薪資中位數高達222萬元，比台積電多出37萬元。薪資福利都好的中鋼，也被視為夢幻職業之一；有網友日前曬出「中鋼某年新進人員名冊」，驚呼「中鋼師級人員清一色都是國立大學」，並詢問高普考都有私立大學，為何中鋼都是國立大學居多？貼文一出，馬上引起討論。
2022-07-19,-2.38,為邁向2050淨零碳排，中鋼與成大今天宣布合作成立「負碳科技氫能冶金技術共研中心」，中鋼並首度與研發型大學簽署MOU，盼研發關鍵技術，助鋼鐵業達成碳中和。
2022-08-09,-6.84,經濟部貿易調查委員會今（9）日召開委員會議，就「中鋼等6家公司申請對自中國、韓國產製進口特定鍍鋅、鋅合金扁軋鋼品繼續課徵反傾銷稅案」以及「中鋼申請對自巴西、中國、印度、印尼、韓國及烏克蘭產製進口碳鋼鋼板繼續課徵反傾銷稅案」等兩案的產業損害調查結果進行審議，並認定，若停止課徵反傾銷稅，將可能繼續或再次對我國產業造成損害，經濟部將向財政部提交認定結果，由財政部審議是否繼續課徵反傾銷稅。
2022-09-16,-3.74,本月13日上午10點多，在高雄市小港區發生一起長者到退休公司請假的案件，一名84歲的邱姓老翁很年輕就進了中鋼機械公司任職，一路做到退休，將近有40年的資歷，他突然覺得「今天好像沒請假」，於是騎腳踏車騎了11公里回公司說要請假，在大門口有民眾協助報警，員警到場了解後，在員工的協助下，印「假單」讓他完成請假手續，老翁才放心回家。
2022-11-01,-1.12,國營事業鐵飯碗福利佳，每回招考總是擠破頭，豈料高雄檢廉年初逮到電子舞弊集團，協助中油、台電、中鋼等約101名考生作弊，大賺作弊財1億餘元，高雄檢廉昨（10月31日）日再帶回8名舞弊考生，全數坦承作弊。面對此等國家級舞弊案，台電也做出回應：「絕不護短，並持續精進防弊作為，盼能嚇阻舞弊歪風。」
2022-11-12,-1.01,高雄市民今（12）日凌晨打開窗戶往外看，整個街道霧濛濛一片，清晨太陽探頭，壟罩城市的霧霾看得更清楚，空氣品質監測網站，整個高雄除了山區呈現一片橘紅，高雄市環保局則指出，受中部之高濃度PM2.5往南，風速弱、溼氣重擴散條件不佳，上午也要求興達電廠、台塑、中油、中鋼等工業區污染源降載，持續監測，隨時間推移，空氣品質也有逐漸改善趨勢。
2022-11-17,0.0,高雄檢廉破獲台電、中鋼等國營事業電子舞弊案。經濟部今天表示，各事業機構均全力配合調查，若涉不法絕不護短，並將持續精進防弊作為，以嚇阻舞弊歪風、維護考試公平性。
2022-12-04,-10.26,有「國民ETF」之稱的元大台灣50（0050）及元大高股息（0056），與台股連動逾3800億元，近來分別追蹤的指數成分股將有所調整。其中0050成分股新增遠東新、刪除友達；0056的成分股則從30檔擴增至50檔，納入日月光投控、台塑等26檔，刪除中鋼等5檔，變化甚鉅。
